scenario,replication,method,success,converged,diagnostic,error,subgroup_difference_truth,subgroup_difference_estimate,subgroup_difference_standard_error,subgroup_difference_lower,subgroup_difference_upper,subgroup_difference_error,subgroup_difference_covered,cate_mse
constant_risk_difference,23,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.005347841333395942,0.08659971855302512,-0.1643876070305333,0.17508328969732517,0.005347841333396053,True,0.000475793018087362
constant_risk_difference,24,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.008174557743500122,0.13298965111932212,-0.26883427393737147,0.2524851584503712,-0.00817455774350001,True,0.006820699761334908
constant_risk_difference,24,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=215, divergences=0",,-1.1102230246251565e-16,-0.006350837310870967,0.05158934852024162,-0.12659591650932722,0.09535900812030888,-0.006350837310870856,True,0.0044766605687296445
constant_risk_difference,24,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.02468707925832203,0.08932135679062816,-0.15038278005130917,0.19975693856795323,0.024687079258322142,True,0.0031375438932477423
constant_risk_difference,25,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.0726729721007145,0.13800981937848492,-0.34317221808254494,0.19782627388111595,-0.07267297210071438,True,0.000806520035310255
constant_risk_difference,25,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=234, divergences=0",,-1.1102230246251565e-16,-0.008337342408621265,0.05932623510330783,-0.14126482214471128,0.0938470638261002,-0.008337342408621154,True,0.002653156884119375
constant_risk_difference,25,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.008177461900567673,0.07749423617996136,-0.16006616481329194,0.1437112410121566,-0.008177461900567562,True,0.0019634875905462836
constant_risk_difference,26,classical_interaction,True,True,,,-1.1102230246251565e-16,0.059400333566120844,0.11157751039476142,-0.15929158680761155,0.27809225393985326,0.059400333566120955,True,0.0045564636785547915
constant_risk_difference,26,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=331, divergences=0",,-1.1102230246251565e-16,0.0005436299941670842,0.03523364725446225,-0.07851096659229449,0.07502378848702469,0.0005436299941671952,True,0.0037987820915763287
constant_risk_difference,26,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.00017635371815183376,0.07995441851465587,-0.15653430657057368,0.15688701400687735,0.00017635371815194478,True,0.00469516386728119
constant_risk_difference,27,classical_interaction,True,True,,,-1.1102230246251565e-16,0.08504982440269349,0.12500136189539843,-0.15995284491228742,0.3300524937176744,0.0850498244026936,True,0.0066308353174151
constant_risk_difference,27,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=338, divergences=0",,-1.1102230246251565e-16,0.006734842573738064,0.039174880314248615,-0.07038722525003602,0.09866609212835976,0.006734842573738175,True,0.002177056823486284
constant_risk_difference,27,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.0032738031980302784,0.08618213859462454,-0.17219079484349437,0.1656431884474338,-0.0032738031980301674,True,0.004300666752945018
constant_risk_difference,28,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.07121541367946771,0.1533547231797854,-0.3717906711118471,0.22935984375291169,-0.0712154136794676,True,0.004187250086561375
constant_risk_difference,28,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.020, minimum bulk ESS=246, divergences=0",,-1.1102230246251565e-16,-0.00037617860056181,0.03985540964242321,-0.08158442744948975,0.07833039922721426,-0.00037617860056169897,True,0.0016463408311344384
constant_risk_difference,28,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.006969752625586412,0.08715366414132351,-0.16385142909140768,0.1777909343425805,0.006969752625586523,True,0.003400698907260087
constant_risk_difference,29,classical_interaction,True,True,,,-1.1102230246251565e-16,0.22893129126019862,0.09820351536893093,0.036452401137094,0.4214101813833032,0.22893129126019873,False,0.010809899346464253
constant_risk_difference,29,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=269, divergences=0",,-1.1102230246251565e-16,0.022704274859518286,0.04393221788419942,-0.06379036311981402,0.11422283194522007,0.022704274859518397,True,0.002126535578965217
constant_risk_difference,29,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.028120341380614033,0.08987822591387844,-0.1480409814105877,0.20428166417181576,0.028120341380614144,True,0.003910069879214304
constant_risk_difference,30,classical_interaction,True,True,,,-1.1102230246251565e-16,0.03455416571324654,0.14796486741692869,-0.25545697442393367,0.32456530585042676,0.034554165713246654,True,0.007466698983004207
constant_risk_difference,30,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=197, divergences=0",,-1.1102230246251565e-16,0.016747531062031976,0.04583389622925134,-0.0889123238510091,0.10988040878300653,0.016747531062032087,True,0.0032663330740737725
constant_risk_difference,30,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.03023518254924984,0.09875107450983434,-0.16331692349002547,0.22378728858852515,0.03023518254924995,True,0.0029922661504048543
constant_risk_difference,31,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.12843375465134294,0.15240097405447023,-0.4271396637981046,0.17027215449541871,-0.12843375465134282,True,0.00596954890985277
constant_risk_difference,31,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=204, divergences=0",,-1.1102230246251565e-16,-0.007778811759184575,0.03697303918164373,-0.09580000217492145,0.05502946859941173,-0.007778811759184464,True,0.002246978246803891
constant_risk_difference,31,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.04375135406105912,0.09160895484543763,-0.22330490555811688,0.13580219743599864,-0.04375135406105901,True,0.0021136699724826837
constant_risk_difference,32,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.1522221940349487,0.1475468590866175,-0.44141403784471894,0.13696964977482157,-0.15222219403494858,True,0.01464237820588046
constant_risk_difference,32,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=295, divergences=0",,-1.1102230246251565e-16,-0.016353571268297364,0.08444152588413945,-0.20949877169588202,0.12660908803071302,-0.016353571268297253,True,0.01055850444471947
constant_risk_difference,32,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.06773025477788969,0.0942965689911113,-0.2525515300004678,0.11709102044468847,-0.06773025477788958,True,0.00443001337058508
constant_risk_difference,33,classical_interaction,True,True,,,-1.1102230246251565e-16,0.002738091769612927,0.11087469779659619,-0.21457631591171558,0.22005249945094144,0.002738091769613038,True,0.02000738477395375
constant_risk_difference,33,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=317, divergences=0",,-1.1102230246251565e-16,0.003994966829790045,0.05972440136159049,-0.14139608384302024,0.11243626214893229,0.003994966829790156,True,0.008160366857354582
