scenario,replication,method,success,converged,diagnostic,error,subgroup_difference_truth,subgroup_difference_estimate,subgroup_difference_standard_error,subgroup_difference_lower,subgroup_difference_upper,subgroup_difference_error,subgroup_difference_covered,cate_mse,prior_label,mean_prior_sd,heterogeneity_prior_scale
no_hte,8,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=345, divergences=0",,-1.1102230246251565e-16,-0.008333134442562192,0.059555591421775314,-0.16368397086141523,0.0749735472973479,-0.008333134442562081,True,0.0045065852163720535,Primary,2.0,1.0
no_hte,8,bayesian_hierarchical,True,True,"mean prior SD=5, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=334, divergences=0",,-1.1102230246251565e-16,-0.0015933012781783442,0.054454039851837985,-0.13178325881854722,0.08056557422803919,-0.0015933012781782331,True,0.004619336148008697,Mean-prior SD 5,5.0,1.0
no_hte,8,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=0.5, max R-hat=1.010, minimum bulk ESS=308, divergences=0",,-1.1102230246251565e-16,-0.004955474372584597,0.05301665404496826,-0.1383824294309744,0.07453113188642219,-0.004955474372584486,True,0.004166817635991929,Heterogeneity-prior scale 0.5,2.0,0.5
no_hte,8,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=2, max R-hat=1.010, minimum bulk ESS=276, divergences=0",,-1.1102230246251565e-16,-0.010359600217855676,0.05926711237709006,-0.15861198396053303,0.07598828561013642,-0.010359600217855565,True,0.004520641779481324,Heterogeneity-prior scale 2,2.0,2.0
no_hte,9,bayesian_hierarchical,True,True,"mean prior SD=1, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=275, divergences=0",,-1.1102230246251565e-16,0.008145681387417062,0.04433667663416882,-0.09676746699542096,0.09032093643476026,0.008145681387417173,True,0.001753041617681236,Mean-prior SD 1,1.0,1.0
no_hte,9,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=306, divergences=0",,-1.1102230246251565e-16,0.011591819528758943,0.042483462142179504,-0.07838833229144362,0.09392636515671515,0.011591819528759054,True,0.0018175084349197818,Primary,2.0,1.0
no_hte,9,bayesian_hierarchical,True,True,"mean prior SD=5, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=341, divergences=0",,-1.1102230246251565e-16,0.014367412662765434,0.05085348110672154,-0.09996350244628664,0.11503811727195375,0.014367412662765545,True,0.001973937553379222,Mean-prior SD 5,5.0,1.0
no_hte,9,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=0.5, max R-hat=1.010, minimum bulk ESS=396, divergences=0",,-1.1102230246251565e-16,0.012270341798702797,0.03977799257972337,-0.0781723743969592,0.0911793039359319,0.012270341798702908,True,0.0016693436818478805,Heterogeneity-prior scale 0.5,2.0,0.5
no_hte,9,bayesian_hierarchical,True,True,"mean prior SD=2, heterogeneity prior scale=2, max R-hat=1.020, minimum bulk ESS=293, divergences=0",,-1.1102230246251565e-16,0.009634281908128492,0.047345646495409566,-0.09211544027843215,0.097045689219165,0.009634281908128603,True,0.001966168297385288,Heterogeneity-prior scale 2,2.0,2.0
no_hte,10,bayesian_hierarchical,True,True,"mean prior SD=1, heterogeneity prior scale=1, max R-hat=1.010, minimum bulk ESS=134, divergences=0",,-1.1102230246251565e-16,0.035217933389517043,0.043934080501239016,-0.05336005611888829,0.12074424702049763,0.035217933389517155,True,0.0029812256866156898,Mean-prior SD 1,1.0,1.0
