scenario,replication,method,success,converged,diagnostic,error,subgroup_difference_truth,subgroup_difference_estimate,subgroup_difference_standard_error,subgroup_difference_lower,subgroup_difference_upper,subgroup_difference_error,subgroup_difference_covered,cate_mse,candidate_id,min_samples_leaf,max_samples,max_depth,fit_seed,runtime_seconds
published_scenario,2,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-0.1766478682072401,-0.1448554682504939,0.11196276658713979,-0.36430249076128784,0.07459155426030009,0.03179239995674621,True,0.008735726115972838,cf_11,20,0.5,,2860141006,0.48766833300032886
published_scenario,2,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-0.1766478682072401,-0.14162707199118968,0.110709798217513,-0.35861827649751515,0.0753641325151358,0.03502079621605042,True,0.00833635458138723,cf_12,20,0.5,5.0,2860141006,0.47722533300111536
published_scenario,3,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-0.1766478682072401,-0.20943359679425322,0.19045032494796807,-0.5827162336922707,0.16384904010376417,-0.03278572858701312,True,0.014397673334963048,cf_01,5,0.45,,2022032537,0.5623255000027712
published_scenario,3,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-0.1766478682072401,-0.20043178790100086,0.16132456848616572,-0.5166279421338857,0.11576436633188397,-0.023783919693760758,True,0.008371364286232618,cf_02,5,0.45,5.0,2022032537,0.48845354100194527
published_scenario,3,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-0.1766478682072401,-0.2356140391952385,0.202499851180044,-0.6325137475081247,0.16128566911764775,-0.05896617098799839,True,0.0162558725964341,cf_03,5,0.5,,2022032537,0.5872827920029522
published_scenario,3,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-0.1766478682072401,-0.22164859221018768,0.18073510743141483,-0.5758894027757607,0.13259221835538537,-0.04500072400294758,True,0.008659151124598466,cf_04,5,0.5,5.0,2022032537,0.5148061660001986
published_scenario,3,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-0.1766478682072401,-0.18760049739398482,0.160769083348168,-0.5027079007563942,0.12750690596842446,-0.010952629186744722,True,0.010231858292642693,cf_05,10,0.45,,2022032537,0.5155040409954381
published_scenario,3,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-0.1766478682072401,-0.1794686705245921,0.14788760244438548,-0.46932837131558763,0.11039103026640346,-0.002820802317351989,True,0.008200276474092324,cf_06,10,0.45,5.0,2022032537,0.4780706659948919
published_scenario,3,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-0.1766478682072401,-0.20754610788367028,0.16656434440125897,-0.5340122229101378,0.11892000714279732,-0.030898239676430184,True,0.010410036172492277,cf_07,10,0.5,,2022032537,0.5347720830031903
published_scenario,3,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-0.1766478682072401,-0.20074378334021942,0.15506645474789454,-0.5046740346460927,0.1031864679656539,-0.024095915132979318,True,0.007819448044471622,cf_08,10,0.5,5.0,2022032537,0.48895570899912855
