scenario,replication,method,success,converged,diagnostic,error,subgroup_difference_truth,subgroup_difference_estimate,subgroup_difference_standard_error,subgroup_difference_lower,subgroup_difference_upper,subgroup_difference_error,subgroup_difference_covered,cate_mse
constant_risk_difference,110,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.0820671842072121,0.13028552671286858,-0.3374268165644345,0.17329244815001033,-0.08206718420721199,True,0.0020449001350916663
constant_risk_difference,110,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=270, divergences=0",,-1.1102230246251565e-16,-0.008720781925707485,0.04377934416977325,-0.12343203404964707,0.059523891688811476,-0.008720781925707374,True,0.0009075486996547253
constant_risk_difference,110,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.0033351621292465605,0.11065837949560414,-0.21355526168213756,0.22022558594063069,0.0033351621292466715,True,0.0012705608459923187
constant_risk_difference,111,classical_interaction,True,True,,,-1.1102230246251565e-16,0.053675129697388635,0.15543647594647655,-0.2509803631577054,0.35833062255248266,0.053675129697388746,True,0.006845079239124177
constant_risk_difference,111,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=158, divergences=0",,-1.1102230246251565e-16,0.007819624450266136,0.04387212897123626,-0.0859064049767773,0.08914687426369264,0.007819624450266247,True,0.005148485085715706
constant_risk_difference,111,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.01008652701834889,0.10266448805530241,-0.19113586957004383,0.2113089236067416,0.010086527018349,True,0.004218438342076468
constant_risk_difference,112,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.05515383120928996,0.14652228551839686,-0.3423375108253478,0.23202984840676788,-0.05515383120928985,True,0.007938431830256136
constant_risk_difference,112,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=280, divergences=0",,-1.1102230246251565e-16,-0.00178571997905583,0.03367376807178063,-0.07656979700373415,0.061607973251985276,-0.001785719979055719,True,0.004092633260806352
constant_risk_difference,112,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.04962699235330037,0.11389033651935959,-0.2728520519312452,0.17359806722464444,-0.04962699235330026,True,0.007012706988642883
constant_risk_difference,113,classical_interaction,True,True,,,-1.1102230246251565e-16,0.05241180028619885,0.12721829452368993,-0.19693605698023342,0.3017596575526311,0.05241180028619896,True,0.0035527800786649757
constant_risk_difference,113,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=274, divergences=0",,-1.1102230246251565e-16,0.02405832112099653,0.03632355250155812,-0.04770595170622199,0.1017455409599129,0.02405832112099664,True,0.0018305292176843458
constant_risk_difference,113,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.01264082898217378,0.1083689535686222,-0.19976232001232572,0.22504397797667328,0.01264082898217389,True,0.0021556061891545714
constant_risk_difference,114,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.016579896442528663,0.11506788641858066,-0.24211295382294676,0.20895316093788943,-0.016579896442528552,True,0.004796834527976963
constant_risk_difference,114,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=306, divergences=0",,-1.1102230246251565e-16,0.00680406741123143,0.03418916377419498,-0.07248267620172333,0.07129830015869573,0.0068040674112315415,True,0.001353690280531982
constant_risk_difference,114,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.020296195699131214,0.10619691304295217,-0.18784975386505504,0.22844214526331746,0.020296195699131325,True,0.0028160453394366495
constant_risk_difference,115,classical_interaction,True,True,,,-1.1102230246251565e-16,0.023373227557992204,0.13248704093756555,-0.2363013726796363,0.2830478277956207,0.023373227557992315,True,0.005796769468369655
constant_risk_difference,115,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.020, minimum bulk ESS=238, divergences=0",,-1.1102230246251565e-16,-0.0006470517126203449,0.03413518810287305,-0.08494301958896654,0.0663549239088531,-0.0006470517126202339,True,0.0008606609991609168
constant_risk_difference,115,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.00344603096293683,0.10909884499018328,-0.21727976714369607,0.2103877052178224,-0.003446030962936719,True,0.0038197470548334395
constant_risk_difference,116,classical_interaction,True,True,,,-1.1102230246251565e-16,0.022733871145586948,0.13201958598376826,-0.23602451738259883,0.2814922596737727,0.02273387114558706,True,0.002816052402050153
constant_risk_difference,116,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=252, divergences=0",,-1.1102230246251565e-16,-0.003464333763911526,0.04637961704165892,-0.10454383632862015,0.08870769846608004,-0.003464333763911415,True,0.0037541246078998487
constant_risk_difference,116,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.026456879648720177,0.11947299508033217,-0.2606239500061712,0.20771019070873087,-0.026456879648720066,True,0.006843428218103172
constant_risk_difference,117,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.17916541484938098,0.14066602803665698,-0.45487082980122867,0.09654000010246672,-0.17916541484938087,True,0.014732003626547719
constant_risk_difference,117,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=400, divergences=0",,-1.1102230246251565e-16,-0.0020974142922326735,0.04169244823789127,-0.10286490554664769,0.062411893753252644,-0.0020974142922325625,True,0.009228302461739122
constant_risk_difference,117,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.023813416507762364,0.10217565480939243,-0.22407769993417154,0.1764508669186468,-0.023813416507762253,True,0.008501845920158558
constant_risk_difference,118,classical_interaction,True,True,,,-1.1102230246251565e-16,0.13003845740328246,0.1357931568230525,-0.13611612996990047,0.3961930447764654,0.13003845740328257,True,0.005523437728350452
constant_risk_difference,118,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=436, divergences=0",,-1.1102230246251565e-16,0.018219677675977652,0.0365658295623562,-0.05718264854077853,0.09107180223350228,0.018219677675977763,True,0.002567410892095076
constant_risk_difference,118,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.007006918587855848,0.10208527889671114,-0.193080228049698,0.20709406522540968,0.007006918587855959,True,0.002822494640214162
constant_risk_difference,119,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.22852645097619484,0.15830413083681336,-0.538802547416349,0.08174964546395935,-0.22852645097619473,True,0.013155530486359538
constant_risk_difference,119,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=378, divergences=0",,-1.1102230246251565e-16,0.017108833791077416,0.041574426040093086,-0.07021919529409286,0.09523792996133544,0.017108833791077527,True,0.0018140931358897907
constant_risk_difference,119,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.004372721196227891,0.11336616978210333,-0.22657041396915042,0.21782497157669464,-0.00437272119622778,True,0.005530408331952235
constant_risk_difference,120,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.08781185191428037,0.13810415580686744,-0.35849599729574055,0.18287229346717981,-0.08781185191428026,True,0.009502849851197705
constant_risk_difference,120,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=325, divergences=0",,-1.1102230246251565e-16,-0.004037876607543846,0.03758578387438729,-0.09525316397371096,0.0681048567756753,-0.004037876607543735,True,0.0010769796617746148
constant_risk_difference,120,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.018712574469008314,0.11118672893757087,-0.23663856318664722,0.1992134142486306,-0.018712574469008203,True,0.005756702756106358
constant_risk_difference,121,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.014083527691196251,0.14633047322801138,-0.30089125521809856,0.27272419983570606,-0.01408352769119614,True,0.0019944049009253785
constant_risk_difference,121,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=414, divergences=0",,-1.1102230246251565e-16,0.021475821072800248,0.03637899536467488,-0.057820882935131344,0.08807693887701051,0.02147582107280036,True,0.0016219918343247878
constant_risk_difference,121,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.010339764934182094,0.10657121926648995,-0.1985398248281382,0.2192193546965024,0.010339764934182205,True,0.002664165908652534
constant_risk_difference,122,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.07565361199535509,0.15833903298995297,-0.3859981166556629,0.23469089266495274,-0.07565361199535497,True,0.0025410511831006634
constant_risk_difference,122,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=373, divergences=0",,-1.1102230246251565e-16,-0.0005576356464063874,0.03040943011028714,-0.07095581324391792,0.05794496166167338,-0.0005576356464062764,True,0.0013717524738045487
constant_risk_difference,122,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.013402816858415822,0.10678980254541692,-0.19590519613060134,0.22271082984743298,0.013402816858415934,True,0.0030823480899635244
constant_risk_difference,123,classical_interaction,True,True,,,-1.1102230246251565e-16,0.009718408855115324,0.12167047275988958,-0.22875571775426826,0.2481925354644989,0.009718408855115435,True,0.006219597607273245
constant_risk_difference,123,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.020, minimum bulk ESS=194, divergences=0",,-1.1102230246251565e-16,-0.016713448400207054,0.04620317825220568,-0.13270707357275102,0.06176089103482871,-0.016713448400206943,True,0.00199470910585745
constant_risk_difference,123,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.026657006968272,0.09831456662868285,-0.16603954362394638,0.21935355756049038,0.026657006968272112,True,0.0040555171592083295
constant_risk_difference,124,classical_interaction,True,True,,,-1.1102230246251565e-16,0.060808314479206094,0.1252028866547222,-0.18458934336404942,0.3062059723224616,0.060808314479206205,True,0.011648708425852864
constant_risk_difference,124,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=123, divergences=0",,-1.1102230246251565e-16,-0.006719999922926969,0.050475577514038805,-0.13092978592611138,0.07969194535685874,-0.006719999922926858,True,0.005595268184181274
constant_risk_difference,124,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.03194376815010852,0.1151908809526584,-0.19383035851710195,0.257717894817319,0.03194376815010863,True,0.010080839071889646
constant_risk_difference,125,classical_interaction,True,True,,,-1.1102230246251565e-16,0.060970242360367743,0.1792888322210341,-0.29043586879285904,0.41237635351359453,0.060970242360367854,True,0.0014770288543463621
constant_risk_difference,125,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.020, minimum bulk ESS=228, divergences=0",,-1.1102230246251565e-16,0.0117375052133535,0.0356490447497871,-0.0612264151175269,0.08988891216757214,0.011737505213353611,True,0.0007169101060515004
constant_risk_difference,125,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.008068139584830214,0.12270624992523291,-0.2324361102686263,0.24857238943828672,0.008068139584830325,True,0.002811453430324452
constant_risk_difference,126,classical_interaction,True,True,,,-1.1102230246251565e-16,0.12760796625692133,0.11958656068073849,-0.1067816926773261,0.36199762519116874,0.12760796625692145,True,0.007642037624204871
constant_risk_difference,126,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=274, divergences=0",,-1.1102230246251565e-16,0.01790934860558321,0.041329933431819385,-0.06182204118888833,0.11727686429221917,0.01790934860558332,True,0.0028122521925388693
constant_risk_difference,126,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.043677888663909814,0.11880776421771494,-0.18918532920281148,0.27654110653063113,0.043677888663909925,True,0.007155536140768172
constant_risk_difference,127,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.09877638684184264,0.14210968758138634,-0.3773113745013599,0.17975860081767459,-0.09877638684184253,True,0.002667065501825871
constant_risk_difference,127,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.020, minimum bulk ESS=342, divergences=0",,-1.1102230246251565e-16,-0.008975258730546675,0.05233892045860238,-0.13509747768482547,0.08019967817533609,-0.008975258730546564,True,0.003093686179258973
constant_risk_difference,127,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.06708033006523528,0.12128937045644105,-0.3048074961598597,0.17064683602938915,-0.06708033006523517,True,0.003833129745065201
constant_risk_difference,128,classical_interaction,True,True,,,-1.1102230246251565e-16,0.14140916351217514,0.12128669780849201,-0.0963127641924692,0.3791310912168195,0.14140916351217525,True,0.0035293711532993423
constant_risk_difference,128,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=429, divergences=0",,-1.1102230246251565e-16,0.02118598920051491,0.03561784855058261,-0.05251352070372113,0.08988639336439595,0.02118598920051502,True,0.0017853006701579507
constant_risk_difference,128,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.013794660037570017,0.10165562714914046,-0.2130396892498853,0.18545036917474528,-0.013794660037569906,True,0.0024538179030128364
constant_risk_difference,129,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.002757701312398275,0.16547172815660824,-0.3270822884993504,0.32156688587455384,-0.002757701312398164,True,0.011799122925950983
constant_risk_difference,129,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.020, minimum bulk ESS=234, divergences=0",,-1.1102230246251565e-16,-0.0020854527506356042,0.07406333886062731,-0.1640090611074781,0.13722565850388782,-0.0020854527506354932,True,0.009769637079321679
constant_risk_difference,129,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.03240274035910451,0.1158257451902871,-0.2594212009320672,0.1946157202138582,-0.0324027403591044,True,0.0049236926554429615
constant_risk_difference,130,classical_interaction,True,True,,,-1.1102230246251565e-16,0.0402325531289055,0.11563571270887865,-0.18641344378049665,0.2668785500383076,0.04023255312890561,True,0.012970081596291452
constant_risk_difference,130,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=311, divergences=0",,-1.1102230246251565e-16,0.008154567482937474,0.05765886196780827,-0.116874580707523,0.11681133406320733,0.008154567482937585,True,0.00859958664728299
constant_risk_difference,130,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.051099189418993274,0.10307383520742323,-0.15092552758755626,0.25312390642554283,0.051099189418993385,True,0.008914044691322075
constant_risk_difference,131,classical_interaction,True,True,,,-1.1102230246251565e-16,0.11107950179306436,0.14562384688317742,-0.17434323809796337,0.3965022416840921,0.11107950179306447,True,0.008270023182122768
constant_risk_difference,131,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=306, divergences=0",,-1.1102230246251565e-16,0.002364098049662872,0.050736029574083574,-0.11678031922290888,0.09574344791486294,0.002364098049662983,True,0.002307210279455739
constant_risk_difference,131,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.05044521342429931,0.11371420223568425,-0.1724346229576418,0.2733250498062404,0.05044521342429942,True,0.0031385933379429014
constant_risk_difference,132,classical_interaction,True,True,,,-1.1102230246251565e-16,0.08525525502248266,0.12109902851473484,-0.1520988408663976,0.3226093509113629,0.08525525502248277,True,0.005313473053441534
